text,label
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) rd request to for this issue  see  INC / REQ and  REQ/  HAVE NOW DISC THE INCORRECT PSR AND IT IS STUCK/  NEEDS TO BE COMPLETED SO  CAN DISCONNECT THIS ACCOUNT/ stuck in bb comp   PHONE  NEED TO PUSH PSR THEN DISCONNECT ACCOUNT PLEASE INCLUDE THESE NOTES IN EMAIL What is your MSS Login ID  Customer Acct Number  PSR     What is your MSS Login ID   Customer Acct Number  PSR   ",Training
"Alternate contact phone number for yourself, if applicable  Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Customer account  has open orders or has already been disconnected.  Error Code Customer account  has open orders or has already been disconnected. What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Alternate contact phone number for yourself, if applicable  Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ERROR AN ERROR OCCURRED DURING THE CUSTOM PRE-VALIDATION PROCEDURE - DB ERROR ORA-. NO DATA FOUND PHONE  -- What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Alternate contact phone number for yourself, if applicable  Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Customer account  has open orders or has already been disconnected.  Error Code Customer account  has open orders or has already been disconnected. What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DD task. Task in BB COMP Work Queue, Telephone , Error Message The circuits for this service request are not complete. Please complete (or reverse if the order has been cancelled) the required engineering before completing this task. The <DD> on row <> is violating the constraint.  What is your MSS Login ID  Customer Acct Number  PSR    ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PSR locked by another user, Telephone , Error Message This order is already open by ) at //  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue,  Telephone , Error Message v_return_cd - v_return_textORA- The MSS Exchange is not found on the account. What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to validate PSR. Getting below error message. Task in BBCOMP Work Queue,  Telephone , Error MessagePLEASE COPY EXISTING PHYSICAL SERVICES RELATED PRODUCT What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PLEASE SEE SCREENSHOT - CH  groomed off this  on ISR -CHCG   Please update to show as Unassigned.  GLYNN HAGEN, Ticket INC COMPLETED at CHCGILBE.  WIN Tech Thomas Walker Cross connection completed at Beverly collocation What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to validate item  Product group .  Error Code Missing Data servItemID is required  for DISCONNECT orderitem.Error Code Unable to validate item  Product group . What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGOCT task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Messageexchange_carrier_circuit_id, of  - already exists. Please change ecckt What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) UNABLE TO COMPLETE MODASGN  ORA-ERROR WHILE WORKING VCONDES. ERROR ORA-SP_QUALIFY_DUALQUAL ORA-NOT ABLE TO FIND CUSTOMER ASSIGNED WIRECENTER IN NEXTGEN MSS. What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) What is your MSS Login ID  Customer Acct Number  PSR  ",Delegation
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Please remove the circuit /HCGS///PUA /DS  from the ISR-WHIP What is your MSS Login ID  PSR  -WHIP ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) STUCK IN BB COMP What is your MSS Login ID  Customer Acct Number  PSR    ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGDES task . Getting below error message. Task in EXCEPTION Work Queue,  Telephone , Error MessageCIRCUIT DESIGN ID of  not found What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PSR locked by another user, Telephone , Error Message This order is already open by ) at //  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Please remove the below circuit from the ISR-PHLA /HCGS///PUA /DS /HCGS///PUA /DS What is your MSS Login ID  PSR  -PHLA ",Data
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ISR GROOM CIRCUIT REMOVAL  What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete ADDASGN, Telephone , Error Message The Physical Circuit is not assigned to the port. What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  Locked  . Getting below error message. ,  Telephone , Error MessageBOT ID  LOCKED IN HWIN. What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Message ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to process item Mb/ Product group . The Service Item  had already been disconnected on another order..  Error Code The Service Item  had already been disconnected on another order.Error Code Unable to process item Mb/ Product group . The Service Item  had already been disconnected on another order.. What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PON    PSR  ACCT  What is your MSS Login ID  Customer Acct Number  PSR  ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) UNABLE TO COMPLETE MODASGN ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to validate item  Product group .  Error Code Missing Data servItemID is required  for DISCONNECT orderitem.Error Code Unable to validate item  Product group . PHONE  What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) MSS No valid pin assignment for Bonded customers  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) TRYING TO MODASGN CUST TO MB BOND. ERROR THAT MSS IS NOT SHOWING AWG.  What is your MSS Login ID  Customer Acct Number  ",Data
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) getting error msg TN , the product id was not found on this order- .  What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) NO PROVISONING PLAN IN THE DROP DOWN BOX TO DISCONNECT CUST  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  cancelled order  but cannot close the DD and DLRD tasks in my queue, can you do this for me. Getting  circuit error message What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) UNABLE TO VALIDATE Error An Error occurred during the Custom Pre-Validation Procedure - ORA- Same TN or Customer has an Open Order in NextGen MSS.  Please complete the Open Order in NextGen MSS and try to Validate in hWIN MSS.  Phone   What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  kicked out canceled psr will not cancel  What is your MSS Login ID  Customer Acct Number  PSR   ",Miscellaneous
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) -MIAM - SAVE FEATURE FOR CIRCUIT /ATDT// /ITCD/ IS UNAVAILABLE AND GRAYED OUT. PLEASE MAKE SAVE FEATURE ON CIRCUIT AVAILABLE. ALSO, LATEST ISSUE OF CIRCUIT IS SHOWING RELATED TO CLOSED PSR ORDER , HOWEVER, IT SHOULD RELATED TO OPEN ISR ORDER -MIAM INSTEAD. PLEASE HELP. THANK YOU.  What is your MSS Login ID  Customer Acct Number / PSR  ISR -MIAM ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) NO PROVISONING PLAN IN THE DROP DOWN BOX TO DISCONNECT CUSTOMER IN THE PLAN SELECTION SCREEN  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) CANNOT FIND THIS RECORD IN EXCEPTION QUEUE. NEEDS TO BE DISCONNECTED -- What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) THIS SERVICE ITEM HAS REQUIRED LABELS WITH NO VALUES. PLEASE ADD VALUES What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ON , ReturnCd - - ReturnText CIRCUIT DESIGN ID of  not found  ECCKT /BB/NIEMANN, COLTON/ - was not delegated in pervious order/historical order. What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) FOLLOW UP OF  REQ/  HAVE NOW DISC THE INCORRECT PSR AND IT IS STUCK/  NEEDS TO BE COMPLETED SO  CAN DISCONNECT THIS ACCOUNT/ PHONE  NEED TO PUSH PSR THEN DISCONNECT ACCOUNT PLEASE INCLUDE THESE NOTES IN EMAIL  What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) FOUND INCORRECT PSR-SENT REQ  - CANCELED PSR AS INSTRUCTED/ PSR NOW STUCK IN BB COMP WITH ERROR  ORA   ERROR WORKIN  NEXGEN MSS DD TASK  COULD NOT COMPLET DD TASK  ERROR ORA   PHYSICAL CIRCUIT IS NOT ASSIGNED TO THE PORT/ NEED TO COMPLETE CANCELED PSR THEN DISCONNECT THIS SVC/ PHONE  PLEASE INCLUDE THESE NOTES IN EMAIL What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) this delegated task is not ready to be completed because it has predecessor tasks in the Legacy domain that have not been completed What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) TN  PSR  ACCT  What is your MSS Login ID  Customer Acct Number  PSR  ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)   RECORD IS BEING DISCONNECTED, BUT SHOWS IN EXCEPTN QUEUE IN HWIN BUT THERE IS NO ERROR SHOWING What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ReturnCd - - ReturnText exchange_carrier_circuit_id, of --- already exists.  Please change ecckt       PSR WAS CANCELLED BY SOMEONE  //    THIS CUSTOMER WILL BE DISCONNECTED What is your MSS Login ID  PSR   ",Delegation
"Alternate contact phone number for yourself, if applicable  Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ORA- PCONDES TASK IN MODASGN QUEUE WAS NOT PROCESSED PROPERLY . PLEASE RE-OPEN PCONDES TASK AND COMPLETE AGAIN. PHONE  --  HAVE REOPEND BOTH MODASGN AND VIRTBB STILL WON' CANCEL What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) an error occurred during the custom pre validation request, no data found -- What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Having sequence issue in SYSPROD environment server host exdb    Yesterday Delegation task are having issues and today the task are getting completed but the PSR UDF are not getting populated properly  Legacy ( hWIN) hostname ex-scan.windstream.com/msld NGMSS hostname ex-scan.windstream.com/mssd",
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) The MSS FT TO BB is not found on the account  TN -   (CLEANUP, CHG TO PIN IN MIROR) What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to validate PSR, Telephone , Error MessageIN order TO add  new Internet product you must disconnect the old one. What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message The customer  has account status DISCONNECTED or PENDING DISCONNECT or SUSPENDED. Orders cannot be entered for this customer.  Error Code The customer  has account status DISCONNECTED or PENDING DISCONNECT or SUSPENDED. Orders cannot be entered for this customer.  TN -   (CLEANUP - DISCONNECT) What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to validate item  Product group .  Error Code Missing Data servItemID is required  for DISCONNECT orderitem.Error Code Unable to validate item  Product group . What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) STUCK IN BB COMP. PLEASE COMPLETE ( WHEN COMPLETE FIX TN -PINS  & -SPEED MB . BONDED)  What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete BBDES task.Telephone,Error Message v_return_cd - v_return_textCould not assign connectionsORA- value too large for column ASAP.DESIGN_LAYOUT_REPORT.PRILOC_CITY (actual , maximum )  What is your MSS Login ID  Customer Acct Number  PSR    ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to validate item  Product group .  Error Code Miscellaneous Error SP_PSRAPI_UPDATE_VALUES Invalid value. Entered value does not have character length of  through .Error Code Unable to validate item  Product group . What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to Validate PSR . Getting below error message. ,  Telephone , Error MessageThe product id  is not compatible with  loop length of   What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task.Telephone,Error MessageReturnCd  - ReturnText Unable to update PSR Order in NGMSS. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Error thrown during Update order API execution  Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Exception Thrown UpdateNGNPSROrderLogic.  Message CaValueValidateManager CA value record being changed or deleted is not found.  CA Virtual Broadband Service Category; CaUsageId ; CaValueId . PPATBB Error Code CaValueValidateManager CA value record being changed or deleted is not found.  CA Virtual Broadband Service Category; CaUsageId ; CaValueId . PPATBB   What is your MSS Login ID  Customer Acct Number  PSR    ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGOCT task . Getting below error message. Task in EXCEPTION Work Queue,  Telephone, Error MessageReturnText exchange_carrier_circuit_id, of --- already exists.  Please change ecckt What is your MSS Login ID  Customer Acct Number  PSR   ",Training
